,schedule_date,Season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,Team,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail,point_diff,spread_favorite_covered
8673,9/8/2005,2005,1,False,NE,30,20,OAK,,,50,Gillette Stadium,False,71.0,9.0,64.0,,10,False
8674,9/11/2005,2005,1,False,BAL,7,24,IND,,,47,M&T Bank Stadium,False,69.0,4.0,63.0,,-17,False
8675,9/11/2005,2005,1,False,BUF,22,7,HOU,,,39,Ralph Wilson Stadium,False,64.0,8.0,58.0,,15,False
8676,9/11/2005,2005,1,False,CAR,20,23,NO,,,45.5,Bank of America Stadium,False,74.0,12.0,49.0,,-3,False
8677,9/11/2005,2005,1,False,CLE,13,27,CIN,,,44.5,FirstEnergy Stadium,False,69.0,6.0,63.0,,-14,False
8678,9/11/2005,2005,1,False,DET,17,3,GB,,,46,Ford Field,False,72.0,0.0,,indoor,14,False
8679,9/11/2005,2005,1,False,JAX,26,14,SEA,,,40,EverBank Field,False,79.0,9.0,63.0,,12,False
8680,9/11/2005,2005,1,False,KC,27,7,NYJ,,,48.5,Arrowhead Stadium,False,78.0,13.0,60.0,,20,False
8681,9/11/2005,2005,1,False,MIA,34,10,DEN,,,38.5,Sun Life Stadium,False,81.0,8.0,80.0,,24,False
8682,9/11/2005,2005,1,False,MIN,13,24,TB,,,43.5,Hubert H. Humphrey Metrodome,False,72.0,0.0,,indoor,-11,False
8683,9/11/2005,2005,1,False,NYG,42,19,ARI,,,37.5,Giants Stadium,False,70.0,10.0,53.0,,23,False
8684,9/11/2005,2005,1,False,PIT,34,7,TEN,,,40.5,Heinz Field,False,68.0,4.0,60.0,,27,False
8685,9/11/2005,2005,1,False,SD,24,28,DAL,,,41,Qualcomm Stadium,False,68.0,9.0,64.0,,-4,False
8686,9/11/2005,2005,1,False,SF,28,25,STL,,,46,Candlestick Park,False,61.0,20.0,74.0,,3,False
8687,9/11/2005,2005,1,False,Washington Redskins,9,7,CHI,,,33,FedEx Field,False,73.0,6.0,55.0,,2,False
8688,9/12/2005,2005,1,False,ATL,14,10,PHI,,,41.5,Georgia Dome,False,72.0,0.0,,indoor,4,False
8689,9/18/2005,2005,2,False,ARI,12,17,STL,,,44,University of Phoenix Stadium,False,85.0,6.0,15.0,,-5,False
8690,9/18/2005,2005,2,False,CAR,27,17,NE,,,44,Bank of America Stadium,False,77.0,5.0,62.0,,10,False
8691,9/18/2005,2005,2,False,CHI,38,6,DET,,,34,Soldier Field,False,67.0,8.0,67.0,,32,False
8692,9/18/2005,2005,2,False,CIN,37,8,MIN,,,47,Paul Brown Stadium,False,66.0,4.0,74.0,,29,False
8693,9/18/2005,2005,2,False,DEN,20,17,SD,,,44,Sports Authority Field at Mile High,False,65.0,11.0,26.0,,3,False
8694,9/18/2005,2005,2,False,GB,24,26,CLE,,,43,Lambeau Field,False,66.0,6.0,70.0,,-2,False
8695,9/18/2005,2005,2,False,HOU,7,27,PIT,,,39.5,Reliant Stadium,False,72.0,0.0,,indoor,-20,False
8696,9/18/2005,2005,2,False,IND,10,3,JAX,,,46,RCA Dome,False,72.0,0.0,,indoor,7,False
8697,9/18/2005,2005,2,False,NYJ,17,7,MIA,,,37,Giants Stadium,False,75.0,11.0,57.0,,10,False
8698,9/18/2005,2005,2,False,OAK,17,23,KC,,,53,Oakland Coliseum,False,60.0,10.0,76.0,,-6,False
8699,9/18/2005,2005,2,False,PHI,42,3,SF,,,43,Lincoln Financial Field,False,75.0,11.0,57.0,,39,False
8700,9/18/2005,2005,2,False,SEA,21,18,ATL,,,41.5,CenturyLink Field,False,57.0,5.0,77.0,,3,False
8701,9/18/2005,2005,2,False,TB,19,3,BUF,,,35,Raymond James Stadium,False,84.0,7.0,61.0,,16,False
8702,9/18/2005,2005,2,False,TEN,25,10,BAL,,,36,Nissan Stadium,False,68.0,3.0,74.0,,15,False
8703,9/19/2005,2005,2,False,DAL,13,14,Washington Redskins,,,36,Texas Stadium,False,86.0,11.0,51.0,,-1,False
8704,9/19/2005,2005,2,False,NYG,27,10,NO,,,43,Giants Stadium,False,77.0,8.0,53.0,,17,False
8705,9/25/2005,2005,3,False,BUF,16,24,ATL,,,36,Ralph Wilson Stadium,False,68.0,10.0,75.0,,-8,False
8706,9/25/2005,2005,3,False,CHI,7,24,CIN,,,39,Soldier Field,False,70.0,8.0,90.0,,-17,False
8707,9/25/2005,2005,3,False,GB,16,17,TB,,,38,Lambeau Field,False,64.0,7.0,92.0,,-1,False
8708,9/25/2005,2005,3,False,IND,13,6,CLE,,,47,RCA Dome,False,72.0,0.0,,indoor,7,False
8709,9/25/2005,2005,3,False,MIA,27,24,CAR,,,37.5,Sun Life Stadium,False,82.0,10.0,76.0,,3,False
8710,9/25/2005,2005,3,False,MIN,33,16,NO,,,44.5,Hubert H. Humphrey Metrodome,False,72.0,0.0,,indoor,17,False
8711,9/25/2005,2005,3,False,NYJ,20,26,JAX,,,34.5,Giants Stadium,False,67.0,10.0,60.0,,-6,False
8712,9/25/2005,2005,3,False,PHI,23,20,OAK,,,47,Lincoln Financial Field,False,69.0,10.0,60.0,,3,False
8713,9/25/2005,2005,3,False,PIT,20,23,NE,,,41.5,Heinz Field,False,71.0,7.0,72.0,,-3,False
8714,9/25/2005,2005,3,False,SD,45,23,NYG,,,42.5,Qualcomm Stadium,False,65.0,7.0,70.0,,22,False
8715,9/25/2005,2005,3,False,SF,31,34,DAL,,,41,Candlestick Park,False,61.0,8.0,57.0,,-3,False
8716,9/25/2005,2005,3,False,SEA,37,12,ARI,,,42,CenturyLink Field,False,56.0,6.0,65.0,,25,False
8717,9/25/2005,2005,3,False,STL,31,27,TEN,,,46,Edward Jones Dome,False,72.0,0.0,,indoor,4,False
8718,9/26/2005,2005,3,False,DEN,30,10,KC,,,49,Sports Authority Field at Mile High,False,58.0,11.0,49.0,,20,False
8719,10/2/2005,2005,4,False,ARI,31,14,SF,,,42,Estadio Azteca,True,66.0,7.0,58.0,,17,False
8720,10/2/2005,2005,4,False,ATL,30,10,MIN,,,44.5,Georgia Dome,False,72.0,0.0,,indoor,20,False
8721,10/2/2005,2005,4,False,BAL,13,3,NYJ,,,31.5,M&T Bank Stadium,False,64.0,4.0,65.0,,10,False
8722,10/2/2005,2005,4,False,CIN,16,10,HOU,,,41.5,Paul Brown Stadium,False,71.0,5.0,75.0,,6,False
8723,10/2/2005,2005,4,False,JAX,7,20,DEN,,,37.5,EverBank Field,False,83.0,15.0,73.0,,-13,False
8724,10/2/2005,2005,4,False,KC,31,37,PHI,,,46.5,Arrowhead Stadium,False,75.0,19.0,74.0,,-6,False
8725,10/2/2005,2005,4,False,NE,17,41,SD,,,47,Gillette Stadium,False,60.0,9.0,73.0,,-24,False
8726,10/2/2005,2005,4,False,NO,19,7,BUF,,,38.5,Alamo Dome,True,72.0,0.0,,indoor,12,False
