Team,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS,Conference,Season,T
NWE,10,6,.625,379,338,41,2.6,0.6,3.1,3.7,-0.5,AFC,2005,
MIA,9,7,.563,318,317,1,0.1,-0.8,-0.8,-1.1,0.3,AFC,2005,
BUF,5,11,.313,271,367,-96,-6.0,0.2,-5.8,-4.0,-1.8,AFC,2005,
NYJ,4,12,.250,240,355,-115,-7.2,0.8,-6.4,-5.2,-1.2,AFC,2005,
CIN,11,5,.688,421,350,71,4.4,-0.6,3.8,6.5,-2.7,AFC,2005,
PIT,11,5,.688,389,258,131,8.2,-0.4,7.8,3.8,4.0,AFC,2005,
BAL,6,10,.375,265,299,-34,-2.1,0.3,-1.8,-3.5,1.7,AFC,2005,
CLE,6,10,.375,232,301,-69,-4.3,0.1,-4.2,-6.0,1.7,AFC,2005,
IND,14,2,.875,439,247,192,12.0,-1.2,10.8,5.6,5.2,AFC,2005,
JAX,12,4,.750,361,269,92,5.8,-1.0,4.8,1.1,3.7,AFC,2005,
TEN,4,12,.250,299,421,-122,-7.6,0.1,-7.6,-2.0,-5.5,AFC,2005,
HOU,2,14,.125,260,431,-171,-10.7,0.7,-10.0,-4.4,-5.7,AFC,2005,
DEN,13,3,.813,395,258,137,8.6,2.2,10.8,5.0,5.8,AFC,2005,
KAN,10,6,.625,403,325,78,4.9,2.1,7.0,5.1,1.9,AFC,2005,
SDG,9,7,.563,418,312,106,6.6,3.3,9.9,7.1,2.9,AFC,2005,
OAK,4,12,.250,290,383,-93,-5.8,3.0,-2.8,-1.2,-1.6,AFC,2005,
NYG,11,5,.688,422,314,108,6.8,0.7,7.5,5.8,1.7,NFC,2005,
WAS,10,6,.625,359,293,66,4.1,1.9,6.0,2.6,3.4,NFC,2005,
DAL,9,7,.563,325,308,17,1.1,2.1,3.2,-0.1,3.2,NFC,2005,
PHI,6,10,.375,310,388,-78,-4.9,2.6,-2.3,-0.7,-1.7,NFC,2005,
CHI,11,5,.688,260,202,58,3.6,-2.2,1.4,-5.2,6.6,NFC,2005,
MIN,9,7,.563,306,344,-38,-2.4,-1.1,-3.5,-1.4,-2.1,NFC,2005,
DET,5,11,.313,254,345,-91,-5.7,-1.0,-6.7,-4.3,-2.4,NFC,2005,
GNB,4,12,.250,298,344,-46,-2.9,-0.8,-3.7,-1.5,-2.2,NFC,2005,
TAM,11,5,.688,300,274,26,1.6,-2.6,-1.0,-2.8,1.8,NFC,2005,
CAR,11,5,.688,391,259,132,8.3,-3.2,5.1,3.0,2.1,NFC,2005,
ATL,8,8,.500,351,341,10,0.6,-1.9,-1.2,1.1,-2.3,NFC,2005,
NOR,3,13,.188,235,398,-163,-10.2,-0.9,-11.1,-6.2,-4.9,NFC,2005,
SEA,13,3,.813,452,271,181,11.3,-2.2,9.1,5.8,3.4,NFC,2005,
STL,6,10,.375,363,429,-66,-4.1,-1.0,-5.1,1.3,-6.4,NFC,2005,
ARI,5,11,.313,311,387,-76,-4.8,-0.2,-5.0,-2.0,-3.0,NFC,2005,
SFO,4,12,.250,239,428,-189,-11.8,0.7,-11.1,-5.6,-5.5,NFC,2005,
NWE,12,4,.750,385,237,148,9.3,1.0,10.2,4.3,5.9,AFC,2006,
NYJ,10,6,.625,316,295,21,1.3,0.7,2.0,0.4,1.7,AFC,2006,
BUF,7,9,.438,300,311,-11,-0.7,2.9,2.2,-0.2,2.4,AFC,2006,
MIA,6,10,.375,260,283,-23,-1.4,2.1,0.7,-3.3,4.0,AFC,2006,
BAL,13,3,.813,353,201,152,9.5,-0.2,9.3,1.5,7.8,AFC,2006,
CIN,8,8,.500,373,331,42,2.6,1.5,4.1,4.0,0.0,AFC,2006,
PIT,8,8,.500,353,315,38,2.4,1.0,3.4,3.0,0.4,AFC,2006,
CLE,4,12,.250,238,356,-118,-7.4,1.5,-5.8,-4.5,-1.3,AFC,2006,
IND,12,4,.750,427,360,67,4.2,1.7,5.9,6.9,-1.1,AFC,2006,
TEN,8,8,.500,324,400,-76,-4.8,3.5,-1.3,1.0,-2.3,AFC,2006,
JAX,8,8,.500,371,274,97,6.1,1.4,7.5,2.6,4.9,AFC,2006,
HOU,6,10,.375,267,366,-99,-6.2,1.7,-4.5,-3.2,-1.3,AFC,2006,
SDG,14,2,.875,492,303,189,11.8,-1.6,10.2,10.0,0.2,AFC,2006,
KAN,9,7,.563,331,315,16,1.0,0.0,1.0,0.4,0.6,AFC,2006,
DEN,9,7,.563,319,305,14,0.9,0.4,1.3,-0.8,2.1,AFC,2006,
OAK,2,14,.125,168,332,-164,-10.3,0.6,-9.6,-10.3,0.7,AFC,2006,
PHI,10,6,.625,398,328,70,4.4,-1.0,3.4,3.2,0.2,NFC,2006,
DAL,9,7,.563,425,350,75,4.7,-1.0,3.7,5.0,-1.3,NFC,2006,
NYG,8,8,.500,355,362,-7,-0.4,0.5,0.1,1.2,-1.1,NFC,2006,
WAS,5,11,.313,307,376,-69,-4.3,0.3,-4.0,-2.1,-2.0,NFC,2006,
CHI,13,3,.813,427,255,172,10.8,-2.9,7.9,4.9,3.0,NFC,2006,
GNB,8,8,.500,301,366,-65,-4.1,-0.4,-4.4,-2.3,-2.1,NFC,2006,
MIN,6,10,.375,282,327,-45,-2.8,-1.3,-4.1,-3.7,-0.4,NFC,2006,
DET,3,13,.188,305,398,-93,-5.8,-0.5,-6.4,-1.8,-4.6,NFC,2006,
NOR,10,6,.625,413,322,91,5.7,-1.6,4.0,4.9,-0.9,NFC,2006,
CAR,8,8,.500,270,305,-35,-2.2,-0.5,-2.7,-4.2,1.5,NFC,2006,
ATL,7,9,.438,292,328,-36,-2.3,-0.8,-3.0,-2.8,-0.2,NFC,2006,
TAM,4,12,.250,211,353,-142,-8.9,0.9,-7.9,-7.2,-0.8,NFC,2006,
SEA,9,7,.563,335,341,-6,-0.4,-3.2,-3.6,-1.7,-1.9,NFC,2006,
STL,8,8,.500,367,381,-14,-0.9,-3.1,-4.0,0.8,-4.7,NFC,2006,
SFO,7,9,.438,298,412,-114,-7.1,-1.6,-8.7,-3.5,-5.2,NFC,2006,
ARI,5,11,.313,314,389,-75,-4.7,-2.2,-6.9,-2.6,-4.3,NFC,2006,
NWE,16,0,1.000,589,274,315,19.7,0.4,20.1,15.9,4.2,AFC,2007,
BUF,7,9,.438,252,354,-102,-6.4,2.3,-4.1,-5.6,1.5,AFC,2007,
NYJ,4,12,.250,268,355,-87,-5.4,1.7,-3.7,-4.0,0.3,AFC,2007,
MIA,1,15,.063,267,437,-170,-10.6,2.3,-8.4,-4.1,-4.2,AFC,2007,
PIT,10,6,.625,393,269,124,7.8,-2.5,5.2,0.9,4.3,AFC,2007,
CLE,10,6,.625,402,382,20,1.3,-2.3,-1.1,2.2,-3.3,AFC,2007,
CIN,7,9,.438,380,385,-5,-0.3,-2.1,-2.4,1.6,-4.0,AFC,2007,
BAL,5,11,.313,275,384,-109,-6.8,0.1,-6.7,-5.0,-1.8,AFC,2007,
IND,13,3,.813,450,262,188,11.8,0.3,12.0,6.6,5.4,AFC,2007,
JAX,11,5,.688,411,304,107,6.7,0.1,6.8,4.8,2.0,AFC,2007,
TEN,10,6,.625,301,297,4,0.3,0.5,0.7,-2.9,3.6,AFC,2007,
HOU,8,8,.500,379,384,-5,-0.3,0.3,0.0,2.5,-2.5,AFC,2007,
SDG,11,5,.688,412,284,128,8.0,0.8,8.8,4.3,4.5,AFC,2007,
DEN,7,9,.438,320,409,-89,-5.6,1.6,-3.9,-0.2,-3.8,AFC,2007,
KAN,4,12,.250,226,335,-109,-6.8,1.4,-5.5,-7.4,1.9,AFC,2007,
OAK,4,12,.250,283,398,-115,-7.2,1.2,-6.0,-3.5,-2.5,AFC,2007,
DAL,13,3,.813,455,325,130,8.1,1.3,9.5,7.8,1.7,NFC,2007,
NYG,10,6,.625,373,351,22,1.4,1.9,3.3,2.8,0.4,NFC,2007,
WAS,9,7,.563,334,310,24,1.5,3.0,4.5,0.2,4.3,NFC,2007,
PHI,8,8,.500,336,300,36,2.3,3.0,5.3,0.1,5.1,NFC,2007,
GNB,13,3,.813,435,291,144,9.0,0.0,9.0,5.7,3.3,NFC,2007,
MIN,8,8,.500,365,311,54,3.4,0.4,3.8,1.4,2.4,NFC,2007,
DET,7,9,.438,346,444,-98,-6.1,2.6,-3.6,1.4,-5.0,NFC,2007,
CHI,7,9,.438,334,348,-14,-0.9,2.1,1.2,-0.2,1.4,NFC,2007,
TAM,9,7,.563,334,270,64,4.0,-2.8,1.2,-2.3,3.6,NFC,2007,
CAR,7,9,.438,267,347,-80,-5.0,-0.8,-5.8,-5.7,-0.1,NFC,2007,
NOR,7,9,.438,379,388,-9,-0.6,-2.0,-2.5,1.9,-4.5,NFC,2007,
ATL,4,12,.250,259,414,-155,-9.7,-0.9,-10.6,-5.8,-4.8,NFC,2007,
SEA,10,6,.625,393,291,102,6.4,-4.6,1.8,0.8,0.9,NFC,2007,
ARI,8,8,.500,404,399,5,0.3,-4.3,-3.9,1.9,-5.9,NFC,2007,
SFO,5,11,.313,219,364,-145,-9.1,-2.9,-11.9,-9.9,-2.0,NFC,2007,
STL,3,13,.188,263,438,-175,-10.9,-2.0,-13.0,-6.5,-6.5,NFC,2007,
MIA,11,5,.688,345,317,28,1.8,-2.3,-0.5,-2.4,1.8,AFC,2008,0
NWE,11,5,.688,410,309,101,6.3,-2.4,3.9,2.3,1.6,AFC,2008,0
NYJ,9,7,.563,405,356,49,3.1,-2.8,0.2,2.2,-1.9,AFC,2008,0
BUF,7,9,.438,336,342,-6,-0.4,-3.0,-3.3,-2.8,-0.6,AFC,2008,0
PIT,12,4,.750,347,223,124,7.8,2.0,9.8,1.6,8.2,AFC,2008,0
BAL,11,5,.688,385,244,141,8.8,1.0,9.8,4.2,5.6,AFC,2008,0
CIN,4,11,.281,204,364,-160,-10.0,3.0,-7.0,-6.9,-0.1,AFC,2008,1
CLE,4,12,.250,232,350,-118,-7.4,2.7,-4.6,-5.2,0.6,AFC,2008,0
TEN,13,3,.813,375,234,141,8.8,0.1,8.9,1.5,7.5,AFC,2008,0
IND,12,4,.750,377,298,79,4.9,1.6,6.5,2.6,3.9,AFC,2008,0
HOU,8,8,.500,366,394,-28,-1.8,1.4,-0.4,2.8,-3.2,AFC,2008,0
