schedule_date,Season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,Team,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
9/8/2005,2005,1,False,NE,30,20,OAK,NE,-7.5,50,Gillette Stadium,False,71.0,9.0,64.0,
9/11/2005,2005,1,False,BAL,7,24,IND,IND,-3.0,47,M&T Bank Stadium,False,69.0,4.0,63.0,
9/11/2005,2005,1,False,BUF,22,7,HOU,BUF,-4.5,39,Ralph Wilson Stadium,False,64.0,8.0,58.0,
9/11/2005,2005,1,False,CAR,20,23,NO,CAR,-6.5,45.5,Bank of America Stadium,False,74.0,12.0,49.0,
9/11/2005,2005,1,False,CLE,13,27,CIN,CIN,-3.5,44.5,FirstEnergy Stadium,False,69.0,6.0,63.0,
9/11/2005,2005,1,False,DET,17,3,GB,DET,-3.0,46,Ford Field,False,72.0,0.0,,indoor
9/11/2005,2005,1,False,JAX,26,14,SEA,JAX,-3.0,40,EverBank Field,False,79.0,9.0,63.0,
9/11/2005,2005,1,False,KC,27,7,NYJ,KC,-3.0,48.5,Arrowhead Stadium,False,78.0,13.0,60.0,
9/11/2005,2005,1,False,MIA,34,10,DEN,DEN,-4.5,38.5,Sun Life Stadium,False,81.0,8.0,80.0,
9/11/2005,2005,1,False,MIN,13,24,TB,MIN,-6.0,43.5,Hubert H. Humphrey Metrodome,False,72.0,0.0,,indoor
9/11/2005,2005,1,False,NYG,42,19,ARI,NYG,-1.5,37.5,Giants Stadium,False,70.0,10.0,53.0,
9/11/2005,2005,1,False,PIT,34,7,TEN,PIT,-7.0,40.5,Heinz Field,False,68.0,4.0,60.0,
9/11/2005,2005,1,False,SD,24,28,DAL,LAC,-5.0,41,Qualcomm Stadium,False,68.0,9.0,64.0,
9/11/2005,2005,1,False,SF,28,25,STL,LAR,-4.5,46,Candlestick Park,False,61.0,20.0,74.0,
9/11/2005,2005,1,False,Washington Redskins,9,7,CHI,WAS,-6.0,33,FedEx Field,False,73.0,6.0,55.0,
9/12/2005,2005,1,False,ATL,14,10,PHI,PHI,-2.0,41.5,Georgia Dome,False,72.0,0.0,,indoor
9/18/2005,2005,2,False,ARI,12,17,STL,LAR,-1.0,44,University of Phoenix Stadium,False,85.0,6.0,15.0,
9/18/2005,2005,2,False,CAR,27,17,NE,NE,-3.0,44,Bank of America Stadium,False,77.0,5.0,62.0,
9/18/2005,2005,2,False,CHI,38,6,DET,DET,-2.5,34,Soldier Field,False,67.0,8.0,67.0,
9/18/2005,2005,2,False,CIN,37,8,MIN,CIN,-3.0,47,Paul Brown Stadium,False,66.0,4.0,74.0,
9/18/2005,2005,2,False,DEN,20,17,SD,DEN,-3.0,44,Sports Authority Field at Mile High,False,65.0,11.0,26.0,
9/18/2005,2005,2,False,GB,24,26,CLE,GB,-7.0,43,Lambeau Field,False,66.0,6.0,70.0,
